OrderNr;ArticleAmount_[#];CostOfOrder_[€];SalesOfOrder_[€];CostOfTransport_[€];TotalMass_[kG];Distance_[kM];OriginWarehouse;Date;Time
29;8;17,71;19,95;0,61;1,2;44; Amsterdam;31-12-2021;17:30
30;10;9,64;10,95;1,1;3;74; Amsterdam;1-3-2021;8:30
31;9;17,35;18,95;1,09;2,5;84; Utrecht;31-12-2021;12:30
32;5;15,93;17,95;0,94;3,3;70; Den Haag ('s-Gravenhage);30-6-2021;12:30
33;12;12,96;14,95;1,33;3,1;94; Utrecht;31-12-2021;8:30
34;10;20,15;22,95;0,9;2,6;55; Den Haag ('s-Gravenhage);31-12-2021;12:30
35;6;12,45;13,95;1,48;3,4;89; Den Haag ('s-Gravenhage);30-11-2021;17:30
36;7;15,76;17,95;0,89;2,8;66; Den Haag ('s-Gravenhage);31-3-2021;8:30
37;12;22,3;24,95;1,09;3,7;70; Den Haag ('s-Gravenhage);30-4-2021;12:30
38;6;23,08;26,95;0,85;2,5;63; Den Haag ('s-Gravenhage);31-12-2021;8:30
39;10;14,3;16,95;1,09;2,1;74; Den Haag ('s-Gravenhage);31-3-2021;12:30
40;9;16,99;19,95;1,32;2,2;79; Rotterdam;30-6-2021;12:30
41;6;13,12;14,95;1,29;3,2;78; Rotterdam;31-3-2021;12:30
42;6;22,78;25,95;0,78;2,5;50; Groningen;30-9-2021;17:30
43;9;20,19;22,95;0,78;2,8;59; Utrecht;1-2-2021;12:30
44;12;10,41;11,95;1,15;2,1;87; Rotterdam;31-12-2021;8:30
45;9;9,66;10,95;0,84;1,7;59; Utrecht;30-11-2021;8:30
46;6;19,82;22,95;0,74;3,1;57; Eindhoven;30-11-2021;12:30
47;10;8,97;9,95;1,36;3;83; Utrecht;1-11-2021;8:30
48;4;12,99;14,95;1,21;2,9;79; Den Haag ('s-Gravenhage);30-6-2021;8:30
49;9;17,89;20,95;1,45;3,3;89; Den Haag ('s-Gravenhage);31-8-2021;17:30
50;9;19,03;21,95;1,08;3;78; Den Haag ('s-Gravenhage);30-11-2021;12:30
51;9;20,62;23,95;1,06;2,3;82; Utrecht;30-11-2021;12:30
52;8;18,32;20,95;1,15;3,1;82; Amsterdam;31-12-2021;12:30
53;8;13,98;15,95;0,74;2,5;54; Eindhoven;31-3-2021;12:30
54;6;11,41;12,95;0,79;3;57; Den Haag ('s-Gravenhage);31-12-2021;8:30
55;5;14,27;16,95;1,16;2,6;74; Eindhoven;30-11-2021;12:30
56;4;17,15;19,95;0,85;2,5;66; Breda;30-11-2021;12:30
57;7;21,68;23,95;1,38;2,3;85; Breda;1-2-2021;12:30
58;4;15,56;17,95;1,35;2,7;82; Rotterdam;30-9-2021;12:30
59;8;12,07;13,95;1,06;3;75; Eindhoven;31-12-2021;17:30
60;6;13,87;15,95;1,22;2,3;81; Rotterdam;31-12-2021;17:30
61;7;9,23;10,95;1,03;2,8;67; Eindhoven;1-11-2021;12:30
62;13;8,66;9,95;0,96;2,8;59; Eindhoven;31-12-2021;12:30
63;6;15,28;17,95;0,66;2,2;51; Utrecht;1-11-2021;12:30
64;10;19,85;22,95;1,09;2,5;68; Utrecht;31-12-2021;8:30
65;3;21,25;24,95;0,71;3,2;47; Rotterdam;30-6-2021;12:30
66;10;12,77;14,95;0,99;3,5;77; Groningen;30-9-2021;12:30
67;8;11,59;12,95;1,22;2,8;76; Rotterdam;30-4-2021;12:30
68;11;20,82;23,95;1,56;2,6;93; Eindhoven;1-11-2021;8:30
69;8;9,73;10,95;0,94;2,5;72; Rotterdam;1-11-2021;12:30
70;9;11,32;12,95;0,94;3,3;58; Den Haag ('s-Gravenhage);31-12-2021;12:30
71;9;21,9;24,95;1,14;3,5;86; Den Haag ('s-Gravenhage);30-11-2021;12:30
72;8;15,79;18,95;0,62;2,4;46; Rotterdam;31-12-2021;17:30
73;9;9,54;10,95;1,05;2,5;75; Utrecht;30-11-2021;8:30
74;7;13,34;14,95;0,91;2,8;56; Eindhoven;31-12-2021;12:30
75;9;12,46;14,95;1,18;2,2;90; Den Haag ('s-Gravenhage);31-12-2021;12:30
76;12;17,18;19,95;0,66;3,8;51; Den Haag ('s-Gravenhage);30-11-2021;8:30
77;11;19,69;21,95;1;2,8;78; Rotterdam;30-4-2021;17:30
78;12;16,24;18,95;0,88;2,9;57; Tilburg;30-11-2021;8:30
79;11;11,91;12,95;0,9;2;67; Tilburg;1-11-2021;17:30
80;10;11,48;12,95;1,09;2;69; Utrecht;31-3-2021;8:30
81;9;13,72;14,95;1,02;3;73; Utrecht;30-4-2021;8:30
82;9;11,5;12,95;0,84;3,5;52; Utrecht;31-12-2021;12:30
83;10;8,24;9,95;0,95;2,8;64; Rotterdam;30-9-2021;12:30
84;3;13,85;15,95;1,16;2;72; Den Haag ('s-Gravenhage);30-11-2021;12:30
85;12;21,47;24,95;1,29;2,7;85; Nijmegen;31-12-2021;12:30
86;8;12;13,95;1,02;2,3;67; Rotterdam;1-11-2021;8:30
87;8;19,35;21,95;0,99;2;60; Utrecht;31-12-2021;17:30
88;5;16,57;18,95;0,95;3,1;58; Den Haag ('s-Gravenhage);30-11-2021;8:30
89;11;8,81;9,95;1,12;2,5;75; Den Haag ('s-Gravenhage);31-12-2021;17:30
90;7;16,06;17,95;1,23;3;87; Utrecht;30-11-2021;8:30
91;11;19,52;22,95;1,01;2,4;78; Utrecht;30-4-2021;12:30
92;11;12,49;13,95;1,06;2,4;73; Den Haag ('s-Gravenhage);30-11-2021;17:30
93;4;19,1;21,95;0,91;2,6;65; Den Haag ('s-Gravenhage);1-3-2021;8:30
94;9;9,67;10,95;1,39;2,6;84; Amsterdam;31-12-2021;17:30
95;8;11,97;13,95;1,03;3,3;80; Den Haag ('s-Gravenhage);30-4-2021;8:30
96;7;25,88;29,95;0,95;3,6;73; Amsterdam;30-9-2021;8:30
97;9;13,97;15,95;0,88;3,1;60; Groningen;1-3-2021;12:30
98;4;10,38;11,95;0,86;3,9;52; Groningen;30-11-2021;12:30
99;9;9,47;10,95;0,93;2;63; Breda;30-9-2021;8:30
100;8;9,57;11,95;0,82;2,1;50; Eindhoven;30-11-2021;12:30
101;12;11,9;13,95;1,37;3;86; Den Haag ('s-Gravenhage);31-12-2021;17:30
102;4;17,04;18,95;0,93;3,3;58; Tilburg;30-4-2021;8:30
103;6;17,85;20,95;0,74;3,5;54; Rotterdam;30-9-2021;12:30
104;9;13,46;14,95;1,19;2,9;73; Rotterdam;31-12-2021;12:30
105;12;15,77;17,95;1,07;2,8;78; Eindhoven;30-4-2021;17:30
106;8;19,97;22,95;1,01;2,4;66; Rotterdam;31-12-2021;12:30
107;11;12,18;13,95;1,32;3,2;87; Den Haag ('s-Gravenhage);30-11-2021;8:30
108;6;22,33;25,95;0,84;3,1;59; Utrecht;31-12-2021;8:30
109;11;21,9;24,95;1,01;3;75; Tilburg;1-11-2021;12:30
110;9;15,29;16,95;0,58;2,7;44; Eindhoven;31-12-2021;12:30
111;7;15,24;16,95;1,14;2,8;75; Groningen;30-11-2021;17:30
112;5;7,06;7,95;0,78;2,7;48; Utrecht;30-9-2021;8:30
113;11;15,4;17,95;1,18;2;79; Breda;31-8-2021;17:30
114;8;14,08;15,95;1,17;2,5;85; Eindhoven;30-6-2021;17:30
115;7;10,35;11,95;1,04;3,3;64; Amsterdam;31-12-2021;8:30
116;8;11,24;12,95;1,14;2,9;78; Groningen;31-3-2021;12:30
117;13;14,64;16,95;1,26;3,6;96; Rotterdam;31-5-2021;12:30
118;5;11,05;12,95;0,83;2,4;64; Den Haag ('s-Gravenhage);1-11-2021;12:30
119;7;16,31;17,95;0,89;2,7;60; Den Haag ('s-Gravenhage);30-6-2021;17:30
120;9;16,6;18,95;1,41;3,6;93; Amsterdam;30-9-2021;12:30
121;7;12,05;13,95;1,56;2,4;95; Rotterdam;31-12-2021;12:30
122;5;18,05;19,95;1,1;3,4;80; Rotterdam;30-11-2021;17:30
123;12;12,83;14,95;0,62;2,7;46; Groningen;31-12-2021;12:30
124;9;15;17,95;0,87;2,1;59; Breda;30-11-2021;12:30
125;6;15,63;17,95;1,06;3;76; Eindhoven;1-11-2021;12:30
126;9;16,88;18,95;0,91;2,6;65; Utrecht;30-11-2021;12:30
127;10;14,51;16,95;0,94;2,7;73; Den Haag ('s-Gravenhage);1-11-2021;12:30
128;10;10,51;12,95;1,14;2,7;84; Rotterdam;31-12-2021;17:30
129;10;10;10,95;0,94;4,1;70; Den Haag ('s-Gravenhage);31-12-2021;8:30
130;10;16,31;18,95;1,28;2,7;88; Utrecht;31-8-2021;8:30
131;8;13,11;14,95;0,9;3,1;71; Rotterdam;31-12-2021;17:30
132;9;9,13;9,95;0,74;3;54; Den Haag ('s-Gravenhage);31-12-2021;12:30
133;8;8,4;9,95;1,1;2,7;77; Groningen;1-11-2021;12:30
134;8;15,17;17,95;1,2;2,2;83; Nijmegen;31-12-2021;12:30
135;11;8,78;9,95;1,04;1,8;66; Den Haag ('s-Gravenhage);1-3-2021;8:30
136;5;14,26;15,95;1,02;2,6;67; Eindhoven;30-4-2021;17:30
137;12;24,42;28,95;0,84;2,5;61; Utrecht;31-12-2021;12:30
138;9;14,87;16,95;0,71;2,4;54; Den Haag ('s-Gravenhage);1-3-2021;8:30
139;5;17,08;18,95;1,08;2,4;70; Eindhoven;31-12-2021;12:30
140;5;14,74;16,95;1,11;2,4;77; Eindhoven;1-2-2021;12:30
141;9;15,77;18,95;0,72;2,5;52; Den Haag ('s-Gravenhage);31-12-2021;17:30
142;5;14,33;15,95;0,77;2,2;52; Rotterdam;31-12-2021;12:30
143;8;16,53;18,95;0,95;2,7;74; Den Haag ('s-Gravenhage);1-2-2021;8:30
144;6;22,3;24,95;1,14;2,2;74; Eindhoven;1-3-2021;12:30
145;5;8,43;9,95;1,08;2,4;83; Utrecht;30-11-2021;17:30
146;6;9,17;10,95;1,07;2,4;69; Tilburg;1-11-2021;8:30
147;10;14,46;16,95;1,21;2;79; Den Haag ('s-Gravenhage);30-11-2021;12:30
148;8;8,65;9,95;1,15;3,5;88; Den Haag ('s-Gravenhage);1-2-2021;12:30
149;10;16,76;18,95;1,37;2,6;96; Groningen;30-4-2021;12:30
150;11;12,18;13,95;1,41;3,2;87; Eindhoven;31-8-2021;17:30
151;10;8,5;9,95;1,51;2,6;91; Rotterdam;31-12-2021;17:30
152;14;19,98;22,95;1,32;2,2;83; Den Haag ('s-Gravenhage);31-12-2021;12:30
153;7;18,09;20,95;1;2,3;76; Den Haag ('s-Gravenhage);30-9-2021;8:30
154;9;12,22;13,95;0,73;3,2;54; Nijmegen;30-4-2021;12:30
155;7;8,3;9,95;0,86;1,5;52; Den Haag ('s-Gravenhage);30-11-2021;12:30
156;11;10,48;11,95;0,64;3,1;50; Den Haag ('s-Gravenhage);31-12-2021;8:30
157;11;14;15,95;1,02;2,1;73; Den Haag ('s-Gravenhage);30-4-2021;17:30
158;9;12,26;13,95;0,97;2,5;71; Den Haag ('s-Gravenhage);31-12-2021;8:30
159;6;11,35;12,95;0,97;3,5;64; Groningen;1-3-2021;17:30
160;10;13,34;14,95;1,24;2,4;85; Den Haag ('s-Gravenhage);30-11-2021;8:30
161;5;15,95;17,95;0,91;2,8;58; Den Haag ('s-Gravenhage);30-11-2021;12:30
162;7;17,77;19,95;1,11;2,8;79; Den Haag ('s-Gravenhage);31-5-2021;12:30
163;8;16,84;18,95;0,75;2,5;51; Den Haag ('s-Gravenhage);30-4-2021;17:30
164;11;10,31;11,95;0,9;2,8;62; Tilburg;1-11-2021;17:30
165;4;10,88;12,95;1,33;2,2;83; Groningen;1-11-2021;12:30
166;8;19,97;22,95;0,91;3,2;71; Den Haag ('s-Gravenhage);31-12-2021;17:30
167;9;12,63;14,95;1,23;2,4;74; Rotterdam;1-3-2021;12:30
168;14;8,97;9,95;1,18;3,6;78; Rotterdam;1-11-2021;12:30
169;9;10,71;12,95;0,68;2,2;50; Den Haag ('s-Gravenhage);31-3-2021;8:30
170;7;9,44;10,95;0,72;2,9;49; Groningen;1-11-2021;8:30
171;3;9,34;10,95;1,27;3,1;84; Breda;30-11-2021;12:30
172;5;16,57;18,95;1,24;2,5;76; Groningen;30-11-2021;12:30
173;9;9,85;11,95;0,94;2,8;65; Utrecht;30-9-2021;17:30
174;6;19,95;21,95;1,1;3,6;76; Den Haag ('s-Gravenhage);31-12-2021;8:30
175;7;16,07;18,95;0,7;3,1;50; Rotterdam;31-12-2021;17:30
176;9;7,05;7,95;1,37;2,6;82; Den Haag ('s-Gravenhage);30-9-2021;12:30
177;8;10,31;11,95;0,77;1,8;52; Groningen;30-11-2021;8:30
178;4;21,22;23,95;1,14;3,2;71; Eindhoven;31-3-2021;12:30
179;5;18,43;20,95;1,19;2,5;72; Utrecht;30-11-2021;12:30
180;9;12,84;14,95;1,24;3,1;74; Utrecht;31-12-2021;17:30
181;4;12,77;14,95;1,4;2,5;95; Den Haag ('s-Gravenhage);31-12-2021;8:30
182;10;17,96;19,95;1,13;2,7;79; Groningen;30-11-2021;12:30
183;4;12,63;14,95;1,05;2,8;64; Amsterdam;31-7-2021;17:30
184;6;16,94;19,95;1,03;2,3;69; Tilburg;1-11-2021;8:30
185;9;14,12;16,95;1,09;3,4;76; Amsterdam;30-4-2021;8:30
186;9;12,06;13,95;1,04;2,5;72; Amsterdam;31-12-2021;8:30
187;11;25,36;27,95;0,85;2,5;60; Groningen;30-6-2021;17:30
188;7;7,58;8,95;0,81;3,1;63; Eindhoven;30-11-2021;8:30
189;9;9,83;11,95;0,97;2,9;69; Utrecht;30-11-2021;12:30
190;13;7,93;9,95;0,96;3;74; Rotterdam;30-6-2021;12:30
191;7;10,95;12,95;1,15;2,8;70; Den Haag ('s-Gravenhage);30-11-2021;17:30
192;9;15,71;17,95;1,03;2,2;66; Tilburg;30-4-2021;8:30
193;9;12,19;13,95;1,33;2,7;93; Utrecht;30-6-2021;8:30
194;11;11,77;12,95;0,91;3,1;67; Utrecht;30-11-2021;8:30
195;6;7,89;8,95;1,3;2,4;98; Den Haag ('s-Gravenhage);30-4-2021;8:30
196;9;9,86;10,95;1;4,3;66; Rotterdam;30-9-2021;17:30
197;11;10,88;12,95;0,67;2,6;49; Eindhoven;1-11-2021;8:30
198;8;21,11;23,95;1,09;2,1;73; Den Haag ('s-Gravenhage);30-11-2021;8:30
199;5;16,76;18,95;0,95;2,3;60; Utrecht;31-12-2021;8:30
200;8;15,98;17,95;1,3;2,7;86; Eindhoven;30-11-2021;12:30
201;11;13,17;14,95;1,25;2,8;82; Groningen;30-11-2021;12:30
202;7;17,94;19,95;0,84;3,8;55; Amsterdam;31-12-2021;8:30
203;6;16,65;18,95;1,31;2,5;90; Groningen;31-12-2021;12:30
204;8;12,9;14,95;0,94;3,3;68; Groningen;30-9-2021;17:30
205;10;7,76;8,95;0,71;2,3;45; Amsterdam;30-11-2021;8:30
206;10;15,49;17,95;0,85;2,7;54; Utrecht;1-11-2021;17:30
207;12;13,75;15,95;0,7;3,3;45; Utrecht;30-9-2021;12:30
208;11;17,85;19,95;1,07;3,3;68; Groningen;30-11-2021;12:30
209;9;14,81;16,95;1,33;3,2;80; Eindhoven;31-12-2021;17:30
210;4;16,61;18,95;1,03;2,8;75; Eindhoven;30-11-2021;17:30
211;10;16,13;18,95;1,07;3,5;78; Utrecht;30-11-2021;12:30
212;14;18,36;20,95;1,36;1,9;82; Utrecht;1-11-2021;8:30
213;9;19,98;22,95;1,27;3,1;84; Amsterdam;31-12-2021;12:30
214;7;15,61;17,95;1,04;1,8;66; Rotterdam;1-11-2021;17:30
215;3;17,51;19,95;1,21;2,1;75; Rotterdam;31-12-2021;8:30
216;8;14,02;15,95;0,97;3,3;60; Den Haag ('s-Gravenhage);31-12-2021;17:30
217;9;13,28;15,95;0,98;2,4;59; Den Haag ('s-Gravenhage);31-12-2021;12:30
218;12;9,63;10,95;1,18;3,4;83; Eindhoven;1-3-2021;8:30
219;5;15,43;16,95;0,9;2,5;56; Amsterdam;31-8-2021;8:30
220;6;14,62;16,95;0,95;3,4;70; Den Haag ('s-Gravenhage);1-2-2021;12:30
221;10;11;12,95;1,03;2,6;80; Amsterdam;30-6-2021;12:30
222;5;23,67;26,95;1,49;2,7;89; Eindhoven;31-12-2021;12:30
223;7;19,15;20,95;0,65;3,1;47; Eindhoven;30-11-2021;12:30
224;6;18,68;21,95;1,28;2,3;81; Utrecht;30-11-2021;8:30
225;10;23,5;25,95;0,99;2,1;75; Groningen;30-11-2021;8:30
226;5;15,08;16,95;0,84;3,4;55; Utrecht;30-9-2021;8:30
227;8;12,77;14,95;1,27;2,8;80; Breda;30-4-2021;12:30
228;9;13,71;15,95;1,24;4,3;85; Rotterdam;31-5-2021;8:30
229;8;18,55;20,95;0,86;2,9;65; Nijmegen;30-4-2021;12:30
230;8;15,69;17,95;0,71;3;47; Utrecht;31-8-2021;8:30
231;8;16,99;18,95;0,95;2,8;73; Groningen;31-12-2021;17:30
232;11;17,08;19,95;1,32;1,9;96; Rotterdam;30-4-2021;17:30
233;8;19,28;21,95;0,65;2,8;46; Utrecht;30-11-2021;8:30
234;13;18,22;20,95;0,83;2,6;64; Den Haag ('s-Gravenhage);31-5-2021;12:30
235;10;14,62;16,95;0,95;2,6;65; Eindhoven;31-12-2021;12:30
236;5;17,67;20,95;0,9;3,3;67; Groningen;30-11-2021;17:30
237;12;16,06;18,95;1,16;2,5;79; Den Haag ('s-Gravenhage);30-11-2021;12:30
238;7;12,76;13,95;0,97;2,8;67; Groningen;30-9-2021;8:30
239;7;16,99;18,95;1,07;3,3;71; Amsterdam;30-9-2021;12:30
240;9;17,76;19,95;0,63;4;49; Rotterdam;31-8-2021;17:30
241;5;22,11;24,95;0,94;2,4;60; Eindhoven;30-11-2021;8:30
242;12;13,21;14,95;0,87;2,6;63; Rotterdam;1-11-2021;8:30
243;6;11,71;12,95;1,11;1,6;68; Rotterdam;1-3-2021;8:30
244;3;12,1;13,95;0,92;3;68; Groningen;1-11-2021;12:30
245;5;14,99;16,95;1,16;2,7;83; Amsterdam;1-11-2021;12:30
246;9;14,52;16,95;0,86;3,3;61; Den Haag ('s-Gravenhage);30-9-2021;17:30
247;7;16,77;18,95;1,26;2,6;85; Tilburg;1-11-2021;12:30
248;6;16,09;17,95;0,74;3;55; Tilburg;30-4-2021;8:30
249;6;17,87;19,95;0,94;2,7;61; Rotterdam;30-11-2021;12:30
250;8;17,67;20,95;1,14;3,7;84; Den Haag ('s-Gravenhage);1-2-2021;8:30
251;8;18,89;20,95;1,09;2,9;83; Rotterdam;1-2-2021;12:30
252;10;12,61;13,95;0,98;2,8;74; Tilburg;31-12-2021;12:30
253;11;19,36;21,95;1,33;2,3;85; Den Haag ('s-Gravenhage);30-11-2021;17:30
254;9;17,87;20,95;0,92;3;57; Amsterdam;30-11-2021;8:30
255;5;16,94;18,95;1,07;3;64; Den Haag ('s-Gravenhage);1-11-2021;8:30
256;7;16,77;18,95;1,18;2,4;80; Groningen;1-3-2021;12:30
257;7;10,5;11,95;0,87;2,3;60; Eindhoven;31-12-2021;12:30
258;7;19,36;21,95;0,94;2,1;61; Utrecht;1-11-2021;12:30
259;13;13,75;14,95;0,7;2,5;54; Rotterdam;30-4-2021;12:30
260;10;16,56;18,95;1,03;2,9;71; Nijmegen;31-12-2021;12:30
261;3;13,03;14,95;1,3;2,8;81; Groningen;30-11-2021;8:30
262;9;19,95;22,95;0,86;2,5;67; Groningen;30-11-2021;17:30
263;12;7,23;7,95;0,93;2,7;67; Den Haag ('s-Gravenhage);30-11-2021;17:30
264;10;19,52;21,95;1,36;2,2;90; Rotterdam;31-8-2021;17:30
265;10;19,36;21,95;0,97;3,5;64; Den Haag ('s-Gravenhage);30-11-2021;12:30
266;4;17,43;19,95;1;2,1;62; Eindhoven;1-11-2021;12:30
267;12;7,4;8,95;1,3;2,8;86; Eindhoven;31-12-2021;8:30
268;5;15,76;18,95;1,16;2,2;71; Utrecht;1-3-2021;8:30
269;12;16,42;18,95;1,13;2,7;68; Den Haag ('s-Gravenhage);31-12-2021;17:30
270;8;20,13;22,95;1,17;3,2;72; Utrecht;30-11-2021;12:30
271;7;18,03;20,95;0,78;2,4;53; Den Haag ('s-Gravenhage);1-11-2021;12:30
272;6;9,97;11,95;1,18;3,2;89; Amsterdam;30-4-2021;8:30
273;4;9,13;10,95;0,99;2,1;62; Den Haag ('s-Gravenhage);31-12-2021;17:30
274;5;12,26;13,95;1,01;3;74; Nijmegen;30-4-2021;12:30
275;10;9,46;10,95;1,04;3,3;64; Rotterdam;31-12-2021;17:30
276;8;20,9;23,95;0,89;1,7;68; Den Haag ('s-Gravenhage);1-2-2021;17:30
277;11;21,5;24,95;1,04;2,4;71; Eindhoven;30-4-2021;8:30
278;6;16,54;18,95;0,7;3,1;55; Utrecht;31-3-2021;8:30
279;12;8,69;9,95;1,16;2,7;72; Eindhoven;30-4-2021;12:30
280;13;20,15;23,95;1,15;2,6;73; Utrecht;30-11-2021;8:30
281;6;21,8;23,95;1,11;3,8;80; Utrecht;31-12-2021;12:30
282;11;16,88;18,95;0,89;2,9;53; Rotterdam;31-12-2021;17:30
283;4;9,57;10,95;1,17;1,6;73; Den Haag ('s-Gravenhage);31-12-2021;12:30
284;5;16,71;18,95;1,11;2,4;70; Amsterdam;31-8-2021;12:30
285;13;7,98;8,95;1,41;3,2;85; Rotterdam;31-12-2021;17:30
286;7;20,5;23,95;0,9;3,2;55; Den Haag ('s-Gravenhage);1-11-2021;12:30
287;11;9,01;10,95;0,99;3,6;65; Den Haag ('s-Gravenhage);31-12-2021;12:30
288;6;13,14;14,95;1;2,3;75; Den Haag ('s-Gravenhage);1-2-2021;8:30
289;14;8,86;9,95;0,98;3,2;70; Den Haag ('s-Gravenhage);31-3-2021;8:30
290;7;19,97;22,95;1,18;1,9;72; Groningen;30-11-2021;12:30
291;7;13,59;15,95;1,45;3;96; Eindhoven;30-11-2021;17:30
292;6;10,59;11,95;0,62;2,8;48; Nijmegen;31-12-2021;12:30
293;10;10,34;11,95;1,29;2,7;85; Den Haag ('s-Gravenhage);31-12-2021;12:30
294;9;17,9;19,95;0,83;4;50; Eindhoven;31-12-2021;17:30
295;6;13,27;14,95;0,67;3,5;49; Tilburg;31-12-2021;17:30
296;10;17,43;19,95;1,04;2,5;73; Den Haag ('s-Gravenhage);31-5-2021;8:30
297;7;13,02;14,95;1,07;2,9;78; Tilburg;31-12-2021;12:30
298;8;12,7;14,95;0,86;2;63; Amsterdam;31-12-2021;8:30
299;6;16,24;18,95;0,9;2,9;67; Den Haag ('s-Gravenhage);30-9-2021;8:30
300;10;10,95;12,95;0,78;3,5;56; Den Haag ('s-Gravenhage);31-12-2021;12:30
301;10;21,47;24,95;0,89;2,8;68; Amsterdam;30-4-2021;17:30
302;9;19,59;21,95;1,16;1,8;74; Utrecht;30-11-2021;12:30
303;8;15,11;16,95;0,86;2,2;60; Amsterdam;30-9-2021;8:30
304;9;16,93;19,95;0,94;2,1;74; Den Haag ('s-Gravenhage);30-11-2021;12:30
305;8;11,45;12,95;0,85;3,6;53; Rotterdam;31-12-2021;12:30
306;6;12,65;14,95;0,96;2,7;75; Rotterdam;1-2-2021;17:30
307;6;16,06;17,95;1,38;1,7;85; Breda;31-12-2021;12:30
308;6;14,37;15,95;0,68;2,3;46; Den Haag ('s-Gravenhage);30-11-2021;8:30
309;11;20,53;22,95;0,76;2,4;52; Den Haag ('s-Gravenhage);31-12-2021;17:30
310;8;12,32;13,95;1,11;2,3;74; Den Haag ('s-Gravenhage);30-4-2021;8:30
311;6;17,87;19,95;0,79;2,9;58; Rotterdam;30-4-2021;12:30
312;11;16,88;18,95;0,76;3,2;58; Rotterdam;31-12-2021;8:30
313;12;17,42;20,95;0,87;2,5;52; Rotterdam;31-5-2021;12:30
314;6;11,29;12,95;1,17;2,4;73; Rotterdam;30-4-2021;17:30
315;11;21,04;23,95;0,78;2,9;55; Utrecht;1-11-2021;8:30
316;9;18,05;20,95;0,67;2,6;50; Tilburg;31-12-2021;12:30
317;6;17,38;19,95;1,44;3,9;93; Tilburg;30-11-2021;12:30
318;4;18,63;20,95;0,56;3;43; Groningen;30-11-2021;8:30
319;10;12,54;13,95;1,26;2,3;96; Utrecht;31-5-2021;17:30
320;13;8,92;9,95;1,16;2,9;84; Groningen;1-3-2021;12:30
321;4;16,43;18,95;1,15;3,1;70; Breda;30-11-2021;12:30
322;2;9,2;9,95;1,11;2,1;67; Utrecht;31-12-2021;12:30
323;4;10,82;12,95;0,91;2,3;63; Rotterdam;31-8-2021;12:30
324;10;22,54;24,95;0,99;2,9;61; Groningen;31-12-2021;8:30
325;9;12,76;14,95;1,23;2;77; Eindhoven;1-11-2021;8:30
326;10;10,37;11,95;0,56;3,5;43; Rotterdam;1-11-2021;12:30
327;2;8,85;10,95;0,73;3,6;54; Den Haag ('s-Gravenhage);31-12-2021;8:30
328;11;20,31;22,95;1,04;3,8;67; Eindhoven;31-3-2021;8:30
329;13;18,75;20,95;1,09;2,6;79; Amsterdam;30-9-2021;12:30
330;8;23,41;26,95;0,94;2,4;59; Den Haag ('s-Gravenhage);30-11-2021;12:30
